University,Country,Program,Min_CGPA,Min_IELTS,Tuition_Fee,Acceptance_Rate,World_Ranking,Job_Prospect
University of Sydney,Australia,Computer Science,7.1,7.8,2696467,74,48,Low
Technical University of Munich,Germany,Data Science,6.0,7.0,2488919,34,58,High
RWTH Aachen University,Germany,Engineering,8.9,7.6,2646336,30,63,Low
University of Michigan,USA,AI,7.1,7.0,3615602,49,19,High
University of Hamburg,Germany,MBA,7.8,6.2,1233342,85,28,High
University of British Columbia,Canada,Computer Science,7.9,7.0,1277266,91,10,Medium
Nanyang Technological University,Singapore,Data Science,8.4,7.4,3262624,52,85,Low
University of Sydney,Australia,Business,7.7,5.7,4651711,73,144,Medium
University of Birmingham,UK,MBA,8.6,5.6,4256760,62,164,Low
McGill University,Canada,Business,6.3,6.0,4237257,48,28,High
Heidelberg University,Germany,Engineering,8.0,6.5,3622471,43,120,Low
RWTH Aachen University,Germany,Engineering,6.0,5.9,3476422,47,85,High
Purdue University,USA,Data Science,7.4,7.5,1909438,86,84,Low
UCLA,USA,Data Science,7.5,6.9,2407715,95,154,Low
Technical University of Munich,Germany,AI,6.5,7.8,3902877,84,197,High
University of Cologne,Germany,Engineering,8.9,6.2,4618118,78,146,High
King's College London,UK,Computer Science,6.6,7.6,3816202,74,1,Low
University of Manchester,UK,Business,8.5,6.2,3172908,85,97,Low
Nanyang Technological University,Singapore,AI,7.5,6.7,2037527,32,117,Medium
NYU,USA,AI,7.7,6.4,1796898,47,80,Low
UC Berkeley,USA,Business,6.4,7.0,3243024,93,4,Medium
University of Hamburg,Germany,Data Science,7.9,6.1,1864803,58,121,Low
National University of Singapore,Singapore,AI,7.0,5.7,3525913,24,70,High
University of Alberta,Canada,AI,8.1,7.3,2142444,79,142,Medium
Australian National University,Australia,MBA,7.8,6.8,4634462,10,141,High
University of Hamburg,Germany,Business,8.9,7.1,4214248,48,179,Medium
Nanyang Technological University,Singapore,MBA,8.9,5.8,2598028,60,58,High
Harvard University,USA,Business,6.3,7.3,4802680,78,23,Low
University of Cambridge,UK,AI,8.2,5.6,3643579,28,198,High
Heidelberg University,Germany,AI,6.9,6.2,3774306,88,182,Low
University of Michigan,USA,Business,7.1,6.8,4027709,48,185,Low
Stanford University,USA,Engineering,8.6,6.0,1759261,82,132,High
Singapore Management University,Singapore,Engineering,6.4,7.6,3703912,14,171,Low
Simon Fraser University,Canada,Data Science,5.6,5.6,2256989,36,73,High
University of Ottawa,Canada,Engineering,7.9,7.8,1945173,40,85,Medium
UNSW Sydney,Australia,Data Science,8.5,7.6,4091347,71,121,Medium
Australian National University,Australia,Data Science,7.7,6.5,3971428,95,48,Low
Monash University,Australia,MBA,6.6,6.6,4081402,76,109,Medium
University of Queensland,Australia,Computer Science,6.5,5.7,2433186,29,90,Medium
King's College London,UK,Computer Science,5.6,5.9,2312971,70,49,Low
Nanyang Technological University,Singapore,AI,8.5,6.9,1316380,75,66,High
RWTH Aachen University,Germany,Engineering,8.0,7.1,3142297,36,155,Low
Singapore Management University,Singapore,AI,6.2,6.2,2115423,33,88,Medium
University of Sydney,Australia,Data Science,8.3,5.8,3113017,58,56,Low
University of Cologne,Germany,Data Science,8.2,7.8,3962794,31,74,High
Imperial College London,UK,Data Science,8.8,7.8,2584365,16,32,High
RMIT University,Australia,AI,6.6,6.8,1622435,38,155,Medium
University of Alberta,Canada,MBA,8.5,6.1,2836949,95,38,Low
NYU,USA,Business,6.2,7.4,4738515,34,169,Medium
Australian National University,Australia,Business,8.6,6.9,3164171,57,4,Medium
University of Sydney,Australia,AI,5.7,6.7,3281102,75,137,High
National University of Singapore,Singapore,AI,7.3,7.0,1411319,74,77,Medium
University of Birmingham,UK,MBA,6.8,6.7,2500329,43,50,High
National University of Singapore,Singapore,MBA,7.2,7.3,3485900,94,82,Low
Imperial College London,UK,AI,8.9,7.6,4322259,89,54,Medium
National University of Singapore,Singapore,Data Science,6.0,7.1,1536639,41,100,Medium
University of Hamburg,Germany,Computer Science,8.4,6.6,4764880,54,110,Low
Singapore Management University,Singapore,MBA,8.3,6.1,1258743,80,9,Low
Technical University of Munich,Germany,AI,5.6,7.6,1388101,59,188,Low
University of Birmingham,UK,MBA,6.9,5.9,1296107,55,21,High
University of Waterloo,Canada,Data Science,8.8,6.9,4473703,35,70,High
Purdue University,USA,Engineering,6.2,7.1,4520229,86,195,High
University College London,UK,Engineering,7.5,6.0,1896018,86,145,High
Queen's University,Canada,Engineering,6.5,7.1,4897029,59,151,Medium
UNSW Sydney,Australia,Data Science,6.1,6.5,4695405,77,54,High
University of Cologne,Germany,MBA,6.5,7.8,4892481,42,132,Medium
NYU,USA,AI,6.1,6.1,3286518,10,185,Low
Imperial College London,UK,Engineering,7.4,7.9,3657181,21,181,High
University of Birmingham,UK,Computer Science,7.0,6.1,3804084,6,17,Low
TU Berlin,Germany,Data Science,5.7,5.6,2951519,66,188,High
University of Waterloo,Canada,MBA,7.8,6.1,2639621,38,51,Medium
Australian National University,Australia,Computer Science,8.9,5.9,4439182,48,57,Low
Technical University of Munich,Germany,Business,8.1,6.5,3761427,68,170,High
National University of Singapore,Singapore,Engineering,6.1,7.3,1598887,73,152,Low
NYU,USA,AI,6.5,5.6,4788176,7,42,Low
University of Cambridge,UK,Data Science,7.4,6.3,2995602,72,198,High
UNSW Sydney,Australia,MBA,8.5,6.8,4316481,83,165,Medium
University of Manchester,UK,AI,8.5,6.3,1669186,60,32,Low
University of Cambridge,UK,Business,8.1,7.3,1437868,70,94,High
UC Berkeley,USA,Engineering,8.4,6.6,4952316,7,196,High
Free University of Berlin,Germany,AI,9.0,6.3,4261454,59,70,Low
Australian National University,Australia,AI,6.9,5.8,4876172,85,6,High
TU Berlin,Germany,Business,6.4,6.0,3279968,31,156,Low
University of Toronto,Canada,Data Science,8.8,7.5,1889578,86,160,Low
Singapore Management University,Singapore,MBA,8.0,5.5,4254422,68,126,Low
Singapore Management University,Singapore,Business,6.5,7.3,1821085,91,43,Low
Georgia Tech,USA,Business,5.7,6.9,1210588,26,79,Low
University of Sydney,Australia,MBA,7.3,7.2,3399028,81,24,High
University of Freiburg,Germany,Computer Science,8.2,7.0,3233822,40,190,High
University of Edinburgh,UK,Data Science,8.7,6.3,4705598,52,195,High
University of Freiburg,Germany,Data Science,7.3,7.4,3440745,92,96,Low
Heidelberg University,Germany,AI,6.5,6.3,3193959,41,173,Medium
NYU,USA,Business,5.7,6.3,1933022,42,48,Medium
UCLA,USA,Engineering,8.1,6.8,1708558,52,57,Low
University of British Columbia,Canada,Business,7.1,7.1,2760889,32,160,Low
University of Freiburg,Germany,Data Science,5.9,6.5,2390896,86,130,High
University of Bonn,Germany,Data Science,5.7,7.7,1947361,27,114,Low
Harvard University,USA,MBA,7.7,7.5,2313436,23,86,Low
University of Queensland,Australia,Engineering,7.6,6.0,2377409,73,194,Medium
University of Cologne,Germany,Data Science,5.9,7.8,2201885,13,69,Low
University of Freiburg,Germany,MBA,8.2,7.7,2852679,78,190,High
Free University of Berlin,Germany,MBA,6.9,7.3,1598682,49,128,Low
National University of Singapore,Singapore,Engineering,6.8,6.9,1524615,16,6,Medium
Nanyang Technological University,Singapore,Business,5.8,5.7,4240182,69,184,Medium
University of Waterloo,Canada,MBA,7.7,6.0,3559738,52,136,Medium
University of Sydney,Australia,Data Science,8.1,6.1,4602916,62,194,Medium
Nanyang Technological University,Singapore,MBA,7.2,6.5,1277248,59,44,Low
Technical University of Munich,Germany,Engineering,7.6,7.9,2983217,65,59,Medium
University of Hamburg,Germany,Data Science,7.3,6.2,2166603,72,173,Low
Nanyang Technological University,Singapore,MBA,8.8,7.8,1656667,23,193,Low
University of Cambridge,UK,Computer Science,6.9,5.8,3501307,60,82,Low
McGill University,Canada,Data Science,7.0,5.9,2307415,84,116,High
University of Cambridge,UK,Data Science,7.0,6.2,4436704,80,129,Low
UNSW Sydney,Australia,Data Science,8.7,7.9,1886405,49,49,Medium
University of Birmingham,UK,MBA,8.8,6.6,4883910,64,128,High
Stanford University,USA,Computer Science,7.0,5.7,2840037,14,104,Low
RWTH Aachen University,Germany,Business,7.3,7.2,3396066,42,88,Medium
MIT,USA,Business,7.8,6.7,2261145,67,163,High
King's College London,UK,Engineering,8.1,7.1,1871210,40,15,Low
University of Stuttgart,Germany,Engineering,7.9,6.9,1873287,35,7,Low
University of Adelaide,Australia,Business,8.2,6.1,4089505,51,27,Low
National University of Singapore,Singapore,Data Science,5.8,6.3,2859915,32,109,High
Singapore Management University,Singapore,AI,7.3,6.0,3783134,76,92,Medium
UC Berkeley,USA,Business,6.7,6.7,2934388,76,56,Low
Heidelberg University,Germany,Data Science,9.0,6.7,2844443,78,84,High
University of Stuttgart,Germany,MBA,8.6,6.1,1847900,23,132,Medium
UCLA,USA,Engineering,6.5,7.7,3661437,81,10,Low
Simon Fraser University,Canada,Computer Science,6.8,6.1,4204569,56,109,Low
University of Melbourne,Australia,Engineering,6.8,6.4,1769099,82,48,Medium
Purdue University,USA,Data Science,7.6,6.2,3457856,70,191,Low
University of Freiburg,Germany,AI,5.8,7.8,1299915,81,150,High
University of Melbourne,Australia,Computer Science,6.3,6.5,1371285,19,123,Medium
NYU,USA,Computer Science,5.9,5.5,2144949,40,90,High
Stanford University,USA,Computer Science,8.7,7.4,2719286,27,157,Low
University of Hamburg,Germany,Engineering,7.4,6.0,2188912,76,102,Low
University of Oxford,UK,MBA,8.4,6.0,2486246,65,128,Medium
University of Ottawa,Canada,Computer Science,8.4,6.5,2559718,68,41,Low
Imperial College London,UK,Engineering,6.7,7.8,4068183,43,45,High
Singapore Management University,Singapore,Engineering,7.7,6.9,3407716,26,90,High
University of Michigan,USA,Data Science,6.8,6.6,1743691,32,123,Medium
University of Edinburgh,UK,Computer Science,6.2,5.8,1966812,22,111,Low
University of Cambridge,UK,AI,8.0,7.3,3022071,47,132,Low
University of Bonn,Germany,Engineering,7.0,7.0,1223630,14,37,Medium
University of Bonn,Germany,Engineering,7.1,6.5,2066401,43,182,Low
McMaster University,Canada,AI,6.8,7.8,2432622,79,69,Medium
University of Cologne,Germany,Computer Science,8.9,6.0,2966804,87,26,High
NYU,USA,Computer Science,8.6,5.9,1716377,37,183,Medium
Western University,Canada,Business,6.5,5.6,2519259,7,92,Low
TU Berlin,Germany,Engineering,6.4,7.8,4999067,75,141,Medium
Singapore Management University,Singapore,Computer Science,5.6,7.1,2596111,35,5,Medium
University of Waterloo,Canada,AI,6.3,7.1,3994953,85,168,High
University of British Columbia,Canada,Business,5.8,6.3,2477687,71,176,Low
University of Melbourne,Australia,Engineering,7.4,7.7,2590278,12,88,High
Monash University,Australia,Computer Science,8.6,7.8,4646929,7,195,Medium
Macquarie University,Australia,Data Science,7.9,5.8,4619828,36,198,Low
Western University,Canada,Business,8.6,6.5,2023407,8,21,High
University of Ottawa,Canada,Engineering,5.6,6.1,2867074,9,67,Low
University of Michigan,USA,Business,6.2,6.7,3187614,58,78,High
University of Bonn,Germany,Computer Science,8.8,5.5,4292039,29,109,Medium
NYU,USA,Engineering,5.7,6.9,3704430,77,170,Low
Singapore Management University,Singapore,MBA,6.4,6.0,3790635,45,145,High
Free University of Berlin,Germany,Business,8.3,5.7,3577254,28,6,High
University of Cologne,Germany,MBA,7.4,6.2,2747005,47,55,Low
University of Birmingham,UK,Business,7.1,7.9,4318821,56,80,Medium
Imperial College London,UK,Data Science,6.2,7.9,4978339,23,183,Medium
Singapore Management University,Singapore,MBA,7.4,6.0,1787001,21,2,High
Nanyang Technological University,Singapore,Data Science,8.7,7.0,4343380,51,166,Medium
University of Freiburg,Germany,Computer Science,6.8,7.6,3469899,39,150,Low
University of Toronto,Canada,Engineering,6.3,7.3,2491905,30,27,Medium
University of Bonn,Germany,Engineering,8.0,7.1,3242070,51,190,High
Macquarie University,Australia,MBA,8.9,7.2,1829375,58,200,Low
Singapore Management University,Singapore,Engineering,6.4,8.0,2554755,12,75,Low
Free University of Berlin,Germany,MBA,7.5,5.8,1465492,88,50,Medium
University of Adelaide,Australia,MBA,8.5,6.9,4976283,8,197,Low
Harvard University,USA,Data Science,5.6,6.7,2766493,67,63,Medium
University of Washington,USA,Data Science,8.4,6.1,4298265,51,172,Low
Nanyang Technological University,Singapore,MBA,6.3,7.9,2698925,13,14,Low
University of Michigan,USA,Computer Science,7.9,7.2,1335666,52,121,High
Georgia Tech,USA,Business,8.9,6.3,2287746,27,1,Medium
University of Cologne,Germany,Engineering,7.6,6.8,3620301,55,141,Medium
Monash University,Australia,Data Science,7.4,6.7,1285726,94,43,Low
University of Queensland,Australia,Computer Science,6.3,5.5,3877616,15,193,Low
University of Oxford,UK,Computer Science,7.5,6.5,4816860,76,143,Low
King's College London,UK,AI,6.6,7.8,1509187,30,174,Low
University of Michigan,USA,MBA,6.0,7.7,2753055,92,122,Medium
RWTH Aachen University,Germany,AI,7.9,6.6,3247314,34,158,Medium
University of Waterloo,Canada,Data Science,8.6,6.9,3943104,78,157,High
University of Sydney,Australia,Data Science,7.1,7.8,3280053,66,167,Medium
University of Alberta,Canada,AI,8.2,5.9,3842467,7,76,Low
University of British Columbia,Canada,Engineering,8.4,6.8,2987511,38,149,Medium
University of Waterloo,Canada,AI,8.0,6.7,4048704,58,45,Medium
University of Western Australia,Australia,Data Science,8.4,8.0,4884857,49,45,Low
University of Oxford,UK,Engineering,8.9,5.9,2831171,23,19,Medium
Nanyang Technological University,Singapore,Computer Science,8.0,8.0,1243996,53,138,Low
University of Oxford,UK,Business,7.6,8.0,2433625,13,22,Low
Macquarie University,Australia,Computer Science,7.5,7.7,4984352,73,111,High
University of Cologne,Germany,Business,6.6,6.7,4750134,79,107,High
University of Edinburgh,UK,Business,5.7,6.7,2156607,33,133,Low
University of Queensland,Australia,Engineering,6.2,5.5,2542702,24,102,Low
University of Bonn,Germany,Data Science,6.2,6.1,4468775,47,126,Medium
Singapore Management University,Singapore,Computer Science,8.5,6.9,2037594,33,169,High
MIT,USA,Engineering,8.4,7.6,2040587,71,177,High
University of Cologne,Germany,Business,7.1,6.2,2866315,52,169,Low
National University of Singapore,Singapore,MBA,6.8,7.7,2468790,19,137,Low
University of Bonn,Germany,Engineering,6.9,7.2,2365156,30,25,High
RMIT University,Australia,Business,8.3,6.5,4651550,51,196,High
University of Glasgow,UK,Data Science,6.6,5.6,1951834,60,36,High
Nanyang Technological University,Singapore,Data Science,6.3,6.9,1381902,52,71,Low
University of Cologne,Germany,MBA,6.0,8.0,3488615,59,36,High
University of Sydney,Australia,Engineering,6.1,7.2,1847151,6,35,Medium
UC Berkeley,USA,Computer Science,6.6,7.9,1335394,78,99,High
Nanyang Technological University,Singapore,MBA,8.2,7.0,3362408,32,15,Medium
University of Melbourne,Australia,Engineering,6.0,6.7,2865574,85,50,Low
UNSW Sydney,Australia,AI,6.9,5.9,4753831,91,84,High
University of British Columbia,Canada,MBA,7.9,6.3,1647170,22,194,High
University of British Columbia,Canada,MBA,6.8,7.7,3872771,72,55,High
Nanyang Technological University,Singapore,Computer Science,7.2,6.5,3995917,45,64,Low
Simon Fraser University,Canada,Data Science,8.1,7.1,4540661,66,187,High
University of Sydney,Australia,Engineering,6.7,6.9,2617828,63,133,Medium
University of Glasgow,UK,Data Science,7.7,7.3,3253672,31,87,Low
University of Hamburg,Germany,MBA,8.4,7.3,2353626,89,63,High
University of Western Australia,Australia,AI,7.4,5.8,4362133,80,160,Medium
University of Adelaide,Australia,Data Science,6.0,7.1,4691061,13,160,Medium
University of Oxford,UK,Computer Science,7.3,5.8,3604342,25,27,Medium
University of Leeds,UK,MBA,7.8,7.9,3546385,19,172,Medium
University of Washington,USA,Business,8.2,6.4,1585338,65,153,Medium
University of Michigan,USA,Data Science,6.9,6.7,2262871,93,101,Medium
University of Queensland,Australia,MBA,7.7,7.6,2053595,34,71,Medium
Nanyang Technological University,Singapore,AI,7.9,5.6,2148134,48,26,Low
University of Glasgow,UK,Data Science,8.0,7.8,1946050,10,40,High
Free University of Berlin,Germany,Engineering,6.6,6.8,1401309,33,149,Medium
Queen's University,Canada,Engineering,8.2,7.2,3873211,57,73,Medium
University of Western Australia,Australia,MBA,8.6,6.3,4988110,43,134,High
University of Leeds,UK,Data Science,8.7,6.7,1551194,46,151,High
Georgia Tech,USA,MBA,8.7,7.8,4432553,93,85,Medium
University of Queensland,Australia,Business,6.0,5.6,2101694,82,146,Medium
Western University,Canada,Business,7.1,7.2,3656004,65,170,Medium
University of Melbourne,Australia,Engineering,6.8,7.0,3818336,44,160,Medium
University of Manchester,UK,Business,8.0,7.8,3667563,21,59,High
MIT,USA,Computer Science,6.4,6.5,1225996,23,10,Low
Imperial College London,UK,Data Science,7.8,7.5,3482542,67,81,Low
University of Oxford,UK,Engineering,7.4,8.0,1480873,41,124,Medium
University of Adelaide,Australia,Engineering,6.4,7.3,1899205,72,107,High
TU Berlin,Germany,MBA,6.7,7.2,3634559,46,1,High
University of Toronto,Canada,MBA,6.6,7.0,3736580,15,168,Low
McMaster University,Canada,MBA,6.7,7.5,1766311,31,59,Medium
University of Sydney,Australia,AI,6.7,6.0,4813683,52,64,Low
University of Toronto,Canada,Data Science,7.9,6.4,3382910,65,24,Medium
University of Hamburg,Germany,Computer Science,5.7,7.3,1596555,69,20,High
King's College London,UK,Computer Science,8.3,6.4,2544388,8,94,Low
TU Berlin,Germany,MBA,6.4,7.5,2615154,82,1,High
Imperial College London,UK,Engineering,6.3,7.5,2179984,25,99,High
University of Washington,USA,MBA,8.4,7.2,4987887,59,49,Medium
University of Waterloo,Canada,MBA,7.6,6.4,2211616,65,46,Medium
University of Bonn,Germany,MBA,8.0,7.8,1416197,15,86,High
